type,ID,OD,DZ,Nr,Nz,current, nr, nz
OM,0.45,0.90,0.1,10,8,500, 20, 20
L2,0.25,0.50,0.03,16,2,1000, 20, 8
CUBu, 0.3079, 0.53975, 0.0762, 8,4, 500, 20,20
CUBr, 0.3302, 0.64516, 0.0886, 12,6, 1000, 20,20
HSX1, 0.60, 0.72, 0.1, 5, 12, 200, 20, 20
HSX2, 0.60, 0.74, 0.1, 7, 12, 200, 20, 20
