type,ID,OD,DZ,Nr,Nz,current, nr, nz
OM,0.45,0.90,0.1,10,8,500, 20, 20
L2,0.25,0.50,0.03,16,2,1000, 20, 8
Blue,0.31,.54,.076,46,2,1000,20,8
Brown,.33,.645,.086,12,6,500,20,8
